Name,BirthDate,Age,BirthCity,BirthCountry,
William Hartnell,8/01/1908,55,London,England,174
Patrick Troughton,25 March 1920,46,London,England,170
Jon Pertwee,7 July 1919,50,London,England,191
Tom Baker,20-January-1934,40,Liverpool,England,191
Peter Davison,13 April 1951,29,London,England,184
Colin Baker,8/June/1943,40,London,England,183
Sylvester McCoy,20 August 1943,44,Dunoon,Scotland,168
Paul McGann,14/11/1959,36,Liverpool,England,174
John Hurt,22 January 1940,73,Derbyshire,England,172
Chris Eccleston,16 Feb 1964,41,Salford,England,183
David Tennant,18 April 1971,34,Bathgate,Scotland,185
Matt Smith,28-10-1982,27,Northampton,England,180
Peter Capaldi,14 April 1958,55,Glasgow,Scotland,183
