T0,a,ecc,i,O,w,M0,Name
56939,0.3871,0.2056,7.0041,48.3126,29.1672,290.8947,Mercury
56939,0.7233,0.0068,3.3945,76.6403,54.5512,53.4809,Venus
56939,0.9991,0.0166,0.0008,64.5686,41.6089,271.1496,Earth
56939,1.5237,0.0935,1.8484,49.5141,286.5590,326.2714,Mars
56939,5.2016,0.0490,1.3040,100.5198,273.6973,108.3747,Jupiter
56939,9.5424,0.0547,2.4885,113.5502,339.4931,137.3806,Saturn
56939,19.1727,0.0486,0.7733,73.8236,96.1711,206.6872,Uranus
56939,29.9769,0.0088,1.7762,131.8775,293.6215,271.7389,Neptune
56939,17.8589,0.9680,162.2302,59.0020,111.8566,136.7636,Halley
